-383,672	-0,35067
-384,468	-0,35067
-385,264	-0,35067
-386,06	-0,35067
-386,856	-0,3513
-387,652	-0,3513
-388,448	-0,3513
-389,244	-0,3513
-390,04	-0,3513
-390,836	-0,3513
-391,632	-0,35162
-392,428	-0,35162
-393,224	-0,35162
-394,02	-0,35162
-394,816	-0,35162
-395,612	-0,35162
-396,408	-0,89996
-397,204	-0,89996
-398	-0,89996
-398,796	-0,89996
-399,592	-0,89997
-400,388	-0,89997
-401,184	-0,89997
-401,98	-0,89998
-402,776	-0,89998
-403,572	-0,89998
-404,368	-0,89998
-405,164	-0,89998
-405,96	-0,89998
-406,756	-0,89998
-407,552	-0,9
-408,348	-0,9
-409,144	-0,9
-409,94	-0,9
-410,736	-0,9
-411,532	-0,9
-412,328	-0,90003
-413,124	-0,90003
-413,92	-0,90003
-414,716	-0,90003
-415,512	-0,90006
-416,308	-0,90006
-417,104	-0,90006
-417,9	-0,90006
-418,696	-0,90006
-419,492	-0,90006
-420,288	-0,90006
-421,084	-0,90014
-421,88	-0,90014
-422,676	-0,90014
-423,472	-0,90014
-424,268	-0,90014
-425,064	-0,90014
-425,86	-0,90014
-426,656	-0,90014
-427,452	-0,90015
-428,248	-0,90015
-429,044	-0,90015
-429,84	-0,90015
-430,636	-0,90015
-431,432	-0,99979
