													Vol%	Vol%	Vol%	Vol%
Erntejahr	VN	Standort	Reihe	Spalte	Fruchtfolge	FF-Glied	N-Form	N-Menge	Block	Aufwuchs	Methode	Datum	WAS 0-30 /5-25	WAS 30-60 / 30-50	WAS 60-90 / 60-80	WAS 90-110
2007	112	2	12	1	4	1	1	4	3	4	grav	08.10.2007	0.256814261	0.08910576	0.074997337	.
2007	112	2	12	2	1	1	1	1	3	1	grav	08.10.2007	0.245854295	0.089569601	0.077083668	.
2007	112	2	12	3	4	1	2	2	3	4	grav	08.10.2007	0.25945909	0.128197472	0.088788222	.
2007	112	2	12	4	1	1	1	4	3	1	grav	08.10.2007	0.225040537	0.106281198	0.116747087	.
2007	112	2	12	5	4	1	2	3	3	4	grav	08.10.2007	0.265437669	0.133051742	0.092084159	.
2007	112	2	12	6	1	1	3	4	3	1	grav	08.10.2007	0.233709877	0.106617269	0.10914681	.
2007	112	2	13	1	1	1	1	4	4	1	grav	08.10.2007	0.225672409	0.116703598	0.149094336	.
2007	112	2	13	3	4	1	4	4	4	4	grav	08.10.2007	0.234561823	0.090758866	0.118025345	.
2007	112	2	13	4	1	1	1	3	4	1	grav	08.10.2007	0.232278734	0.111654615	0.117425369	.
2007	112	2	13	5	1	1	5	4	4	1	grav	08.10.2007	0.266882457	0.179104478	0.087881909	.
2007	112	2	13	6	4	1	1	4	4	4	grav	08.10.2007	0.254441075	0.230743874	0.18743344	.
2007	112	2	14	1	1	1	2	4	4	1	grav	08.10.2007	0.206548145	0.205573419	0.207693224	.
2007	112	2	14	2	4	1	1	3	4	4	grav	08.10.2007	0.24908383	0.232441289	0.205559863	.
2007	112	2	14	3	1	1	1	1	4	1	grav	08.10.2007	0.241311796	0.229099157	0.280637813	.
2007	112	2	14	4	1	1	4	4	4	1	grav	08.10.2007	0.236592216	0.182100239	0.216592535	.
2007	112	2	14	5	1	1	2	2	4	1	grav	08.10.2007	0.236150295	0.204288267	0.134490239	.
2007	112	2	14	6	1	1	1	2	4	1	grav	08.10.2007	0.203125	0.154282116	0.229879459	.
2007	112	2	15	1	1	1	4	3	4	1	grav	08.10.2007	0.192851205	0.162110858	0.225179746	.
2007	112	2	15	2	4	1	5	4	4	4	grav	08.10.2007	0.215984882	0.169680111	0.217217972	.
2007	112	2	15	3	4	1	3	4	4	4	grav	08.10.2007	0.210071859	0.233539549	0.246852629	.
2007	112	2	15	4	4	1	2	4	4	4	grav	08.10.2007	0.205961638	0.199075145	0.172433352	.
2007	112	2	15	5	4	1	2	2	4	4	grav	08.10.2007	0.246226415	0.193757944	0.201729107	.
2007	112	2	15	6	1	1	3	4	4	1	grav	08.10.2007	0.214655811	0.167015488	0.184022381	.
2007	112	2	16	1	1	1	2	3	4	1	grav	08.10.2007	0.189413141	0.214844973	0.208249313	.
2007	112	2	16	2	4	1	1	2	4	4	grav	08.10.2007	0.204571106	0.191380908	0.225577442	.
2007	112	2	16	3	4	1	4	3	4	4	grav	08.10.2007	0.206137309	0.194403842	0.208544533	.
