ClassName;FileName;Parameter;ParamIniVal;SourcecodeVal;
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Km_den;26;26;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Km_Nmin;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_1;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_2;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_3;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_4;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_5;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_6;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_7;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_8;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Layerfactor_9;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;MinNmin;2;2;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;OrgDepth;30;30;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;Soil_pH;6.4;6.4;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;WFPS_crit_den;0.8;0.8;0
TDueng_ISIP;;Sollwert;330;NOT FOUND;#WERT!
TDueng_ISIP;Components\ISIP_Components\UDueng_ISIP.pas;fNEff;1;0.7;0.3
TDueng_ISIP;Components\ISIP_Components\UDueng_ISIP.pas;STDNApp1;90;60;30
TDueng_ISIP;Components\ISIP_Components\UDueng_ISIP.pas;STDNApp2;150;70;80
TDueng_ISIP;Components\ISIP_Components\UDueng_ISIP.pas;STDNApp3;60;70;10
TDueng_ISIP;Components\ISIP_Components\UDueng_ISIP.pas;fSensPar;1;1;0
TTillage;Components\CropManagement\UTillage.pas;TillageMinEffect;0.5;0.5;0
